statement,disease
"আমার ধানের পাতার কিনারগুলা সব এমনভাবে নষ্ট হইছে যে, আর কোনো আশাই নাই।",Bacterial Leaf Blight
আজ রাতের আঁধারে আমার ধানের পাতা পোড়া খেতের দিকে তাকাইতেও ভয় করতাছে।,Bacterial Leaf Blight
আমার কচি ধানের চারাগুলা সব কোনো কারণ ছাড়াই ঢইলা পইড়া মইরা যাইতেছে।,Bacterial Leaf Blight
"ধানের পাতার আগাটা এমনভাবে শুকাইছে যে, মনে হইতাছে কেউ কাঁচি দিয়া সমান কইরা কাইটা দিছে।",Bacterial Leaf Blight
এই পাতা পোড়া রোগে আমার ধানের সব তেজই কইমা গেলো। গাছ আর মোটাই হইতাছে না।,Bacterial Leaf Blight
সকালে আমার ধানের পাতার আগায় মধুর মতো আঠা লাইগা থাকতে দেখছিলাম।,Bacterial Leaf Blight
আমার আমন ধানের চারাগুলা সব গোড়া থেইকা শুকায়া যাইতাছে। এইডা কি রোগ? 😟,Bacterial Leaf Blight
এই ধান গাছের পাতা পোড়া রোগটা আমার সব আশা ভরসা নষ্ট কইরা দিলো।,Bacterial Leaf Blight
আমার ধানের পাতার দাগগুলা সাপের মতো আঁকাবাঁকা হইয়া নিচে নামতাছে।,Bacterial Leaf Blight
আমার ধানের পাতা দেইখা মনে হইতাছে কেউ ঝাড়ু দিয়া এক সাইড পরিষ্কার কইরা দিছে।,Bacterial Leaf Blight
আমার ব্রি-৫১ ধানের পাতায় এই পাতা পোড়া রোগটা লাইগা পুরাই শ্যাষ।,Bacterial Leaf Blight
ধানের পাতা সাইড থেইকা শুকাইতে শুকাইতে এখন মাঝখানের শিরা পর্যন্ত চইলা আসছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগের কারণে আমার ধানের গাছগুলা আর এক ইঞ্চিও বাড়তাছে না।,Bacterial Leaf Blight
আমার পুরা ধান খেতটাই কেমন জানি একটা মরা মরা ভাব ধইরা ফেলছে।,Bacterial Leaf Blight
আমার ধানের পাতার আগায় সকালবেলা হলদে পুঁতির মতো জিনিস জইমা থাকে।,Bacterial Leaf Blight
"এই মাত্র বৃষ্টি থামলো, আমার চিন্তা বাড়লো। কাল সকালে না জানি ধানের পাতা পোড়া কোন পর্যন্ত যায়।",Bacterial Leaf Blight
"আমার ধানের পাতা শুকায়া এমন হইছে যে, একটু বাতাসেই মড়মড় কইরা ভাঙতাছে।",Bacterial Leaf Blight
এই পাতা পোড়া রোগটা কি খালি ইউরিয়া সার বেশি দিলেই হয়? 🤔,Bacterial Leaf Blight
"আমার ধানের পাতা এমনভাবে নষ্ট হইছে যে, আর কোনোদিনও সবুজ হইবো বইলা মনে হয় না।",Bacterial Leaf Blight
"ধানের পাতার আগা থেইকা যে পোড়া ভাবটা শুরু হইছে, সেইটা দিনকে দিন বাড়তেই আছে।",Bacterial Leaf Blight
"আমার জমির যে ধানে বাতাসটা সরাসরি লাগে, সেই ধানের পাতা পোড়া রোগটাও মারাত্মক।",Bacterial Leaf Blight
এইবার আমার ধানের পাতা পোড়া দেইখা গ্রামের মুরুব্বিরাও কোনো সমাধান দিতে পারতাছে না।,Bacterial Leaf Blight
আমার ধানের পাতার দুইটা কিনারই একসাথে শুকায়া যাইতাছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগটা কি বাতাসের মাধ্যমে এক খেত থেইকা আরেক খেত পর্যন্ত যাইতে পারে?,Bacterial Leaf Blight
আমার ধানের পাতা এমনভাবে শুকায়া যাইতেছে যেনো কেউ গরম বাতাস দিয়া রাখছে।,Bacterial Leaf Blight
সকালের কুয়াশার সাথে আমার ধানের পাতায় আঠালো ময়লা জইমা থাকে।,Bacterial Leaf Blight
"এইবার আমার ধানের পাতা পোড়ার কারণে যে লস হইবো, সেইটা পূরণ করতে এক বছর লাইগা যাইবো।",Bacterial Leaf Blight
আমার ধানের পাতার দাগগুলা এখন ধূসর হইয়া গেছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগের কারণে আমার ধানের থোড়ও ঠিকমতো বাইর হইতে পারতাছে না।,Bacterial Leaf Blight
আমার ধানের পাতা দেইখা মনে হইতাছে এইবার আর নিজের খাওয়ার ধানটাও হইবো না। 😥,Bacterial Leaf Blight
"ধানের পাতার আগাটা এমনভাবে শুকাইছে যে, পুরা গাছটাই মরা মনে হইতাছে।",Bacterial Leaf Blight
আমার ধানের পাতা পোড়া রোগটা কি মাটি থেইকা ছড়ায়?,Bacterial Leaf Blight
এইবার আমার ধানের পাতা পোড়া দেইখা মনে হইতাছে আমার সব পরিশ্রমই বৃথা।,Bacterial Leaf Blight
"আমার ধানের পাতার সাইডগুলা এমনভাবে শুকাইছে যে, মনে হয় কেউ ইস্ত্রি কইরা দিছে।",Bacterial Leaf Blight
এই পাতা পোড়া রোগের কারণে আমার ধানের গাছগুলার সব সতেজ ভাবটাই হারায়া গেছে।,Bacterial Leaf Blight
"আমার ধানের পাতায় সকালে যে আঠা দেখা যায়, সেইটা শুকায়া সাদা হইয়া যায়।",Bacterial Leaf Blight
এইবার আমার ধানের পাতা পোড়ার কারণে খুব বড় একটা দেনার মইধ্যে পইড়া যামু।,Bacterial Leaf Blight
আমার ধানের পাতার কিনার বরাবর একটা ঢেউ খেলানো হলদে দাগ হইছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগটা আমার সব স্বপ্নই নষ্ট কইরা দিলো।,Bacterial Leaf Blight
"আমার ধানের পাতা এমনভাবে পুড়ছে যে, খেতটা দেইখা নিজেরই কান্না চইলা আসে। 😭",Bacterial Leaf Blight
"ধানের পাতার আগা থেইকা যে মরা ভাবটা শুরু হইছে, সেইটা এখন গিঁট পর্যন্ত পৌঁছাইছে।",Bacterial Leaf Blight
আমার ধানের চারাগুলা সব গোড়া থেইকা পচার আগেই পাতা শুকায়া মইরা যাইতাছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগে আমার কচি ধান গাছগুলা আর বড়ই হইতে পারলো না।,Bacterial Leaf Blight
"আমার ধানের পাতার কিনারগুলা সব এমনভাবে শুকাইছে যে, আর কোনো কিছুই অবশিষ্ট নাই।",Bacterial Leaf Blight
এই পাতা পোড়া রোগটা কি ধানের সব জাতকেই সমানভাবে আক্রমণ করে?,Bacterial Leaf Blight
"আমার ধানের পাতা এমনভাবে নষ্ট হইছে যে, আর কোনোদিনও ভালো হওয়ার আশা নাই।",Bacterial Leaf Blight
"ধানের পাতার আগাটা এমনভাবে পইচা যাইতাছে যে, দেখলে খুব খারাপ লাগে।",Bacterial Leaf Blight
আমার ধানের পাতা পোড়া দেইখা আমার রাতের ঘুমই চইলা গেছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগের কারণে আমার ধানের গাছগুলার আর কোনো ভবিষ্যৎ নাই।,Bacterial Leaf Blight
"আমার ধানের পাতার সাইডগুলা সব শুকায়া এমন হইছে যে, আর কোনো সবুজ অংশই নাই।",Bacterial Leaf Blight
এইবার আমার ধানের পাতা পোড়া দেইখা মনে হইতাছে আমার সব আশাভরসাই শেষ।,Bacterial Leaf Blight
"আমার ধানের পাতার কিনারগুলা সব এমনভাবে মইরা গেছে যে, আর কোনো কিছুই করার মতো নাই।",Bacterial Leaf Blight
এই পাতা পোড়া রোগটা আমার সব লাভই কাইড়া নিলো।,Bacterial Leaf Blight
আমার ধানের পাতা দেইখা মনে হইতাছে এইবার আর পরিবারের মুখে হাসি ফুটাইতে পারমু না।,Bacterial Leaf Blight
"ধানের পাতার আগা থেইকা যে পোড়া ভাবটা শুরু হইছে, সেইটা এখন পুরা খেতকেই ধইরা ফেলছে।",Bacterial Leaf Blight
"আমার ধানের পাতা পোড়া রোগটা এইবার এত মারাত্মক যে, গ্রামের সবাই আমার খেত দেখতে আসতাছে।",Bacterial Leaf Blight
এই পাতা পোড়া রোগে আমার ধানের সব গুণই নষ্ট হইয়া গেলো।,Bacterial Leaf Blight
"আমার ধানের পাতার কিনারগুলা সব এমনভাবে নষ্ট হইছে যে, আর কোনো উপায়ই দেখতাছি না।",Bacterial Leaf Blight
এই পাতা পোড়া রোগটা আমার সব সম্পদই কাইড়া নিলো।,Bacterial Leaf Blight
আমার ধানের পাতা দেইখা মনে হইতাছে এইবার আর ঋণ শোধ করার কোনো পথ নাই। 😫,Bacterial Leaf Blight
"ধানের পাতার আগাটা এমনভাবে নষ্ট হইছে যে, গাছ আর কোনোদিনও ভালো দেখার মতো হইবো না।",Bacterial Leaf Blight
আমার ধানের পাতা পোড়া দেইখা আমার খুব মনোকষ্ট হইতাছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগের কারণে আমার ধানের সব মানই নষ্ট হইয়া গেলো।,Bacterial Leaf Blight
"আমার ধানের পাতার সাইডগুলা সব এমনভাবে নষ্ট হইছে যে, আর কোনো কিছুই করার মতো অবস্থায় নাই।",Bacterial Leaf Blight
এইবার আমার ধানের পাতা পোড়া দেইখা মনে হইতাছে আমার সব কিছুই হারায়া গেলো।,Bacterial Leaf Blight
"আমার ধানের পাতার কিনারগুলা সব এমনভাবে নষ্ট হইছে যে, আর কোনো আশার আলোই নাই।",Bacterial Leaf Blight
আমার কচি ধানের চারাগুলা সব একসাথে ঢইলা পইড়া খেতটাই ফাঁকা কইরা দিতাছে।,Bacterial Leaf Blight
এই ঢলে পড়া রোগটা কি পাতা পোড়ারই একটা অংশ? আমার সব ধান মইরা যাইতাছে।,Bacterial Leaf Blight
আমার ধানের চারাগুলা কোনো দাগ ছাড়াই গোড়া থেইকা নেতিয়ে পড়তাছে।,Bacterial Leaf Blight
গতকালের ঝড়ের পর আজ সকালে দেহি আমার ধানের পাতা সব সাদা হইয়া গেছে।,Bacterial Leaf Blight
"আমার ধানের পাতার আগায় যে আঠা জমে, সেইটা কি পাখির জন্য ক্ষতিকর?",Bacterial Leaf Blight
এই পাতা পোড়া রোগের কারণে আমার ধানের বাড় সব কইমা গেছে।,Bacterial Leaf Blight
"ধানের পাতা সাইড থেইকা এমনভাবে শুকাইছে যে, পাতাটা মুচড়াইয়া যাইতাছে।",Bacterial Leaf Blight
আমার ধানের পাতার পোড়া অংশটা বাতাসে ছিঁড়া যাইতাছে।,Bacterial Leaf Blight
"এই রোগের কারণে আমার ধানের পাতা আর চওড়া হইতাছে না, সব চিকন হইয়া রইছে।",Bacterial Leaf Blight
আমার ধানের চারা লাগানোর পর থেইকাই পাতা শুকানোর এই রোগটা শুরু হইছে।,Bacterial Leaf Blight
আমার কচি ধানের চারা সব হলুদ হইয়া মইরা যাইতেছে। এইডাই কি ক্রেসেক রোগ?,Bacterial Leaf Blight
রাইতের বেলা টর্চ মারলে আমার ধানের পাতার মরা দাগগুলা কেমন জানি ফ্যাকাসে লাগে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগটা ধানের গোছা থেকে শীষ পর্যন্ত ছড়াইয়া যাইবো নাকি?,Bacterial Leaf Blight
"আমার ধানের পাতার আগাটা এমনভাবে পুড়ছে যে, হাত দিলেই ভাঙা যায়।",Bacterial Leaf Blight
"এই মাত্র নামাজ শেষ কইরা বসলাম, কিন্তু আমার ধানের পাতার পোড়া দাগের চিন্তা মাথা থেইকা যাইতাছে না।",Bacterial Leaf Blight
আমার কচি ধানের চারাগুলা সব সবুজ থেইকা একবারে হলুদ হইয়া ঢইলা পড়তাছে।,Bacterial Leaf Blight
ধানের পাতার আগাটা শুকায়া কাগজের মতো পাতলা হইয়া গেছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগে আমার ধানের কাণ্ডটাও কেমন জানি ফ্যাকাশে হইয়া যাইতাছে।,Bacterial Leaf Blight
"সকালে আমার ধানের পাতায় যে আঠালো দানা দেখছিলাম, বিকালে দেহি সেইগুলা শুকায়া পাতা থেইকা ঝইরা পড়তাছে।",Bacterial Leaf Blight
আমার ধানের চারাগুলা সব এক রাতের মইধ্যে মইরা গেলো। এইডা কেমন রোগ? 😫,Bacterial Leaf Blight
এই ধান গাছের পাতা পোড়া রোগটা আমার সব কষ্টই মাটি কইরা দিলো।,Bacterial Leaf Blight
আমার ধানের পাতার পোড়া দাগগুলা নদীর মতো ঢেউ খেলানো।,Bacterial Leaf Blight
আমার ধানের পাতা দেইখা মনে হইতাছে কেউ তামাক পাতার মতো কইরা শুকাইতে দিছে।,Bacterial Leaf Blight
আমার গুটি স্বর্ণা ধানের পাতায় এই পাতা পোড়া রোগটা লাইগা সব শ্যাষ কইরা দিতাছে।,Bacterial Leaf Blight
ধানের পাতা সাইড থেইকা শুকাইতে শুকাইতে এখন পুরা পাতাই মরা।,Bacterial Leaf Blight
এই পাতা পোড়া রোগের কারণে আমার ধানের গাছগুলা আর এক চুলও বাড়তাছে না।,Bacterial Leaf Blight
আমার পুরা ধান খেতটাই দেইখা মনে হইতাছে কেউ আগুন লাগাইয়া দিছিলো।,Bacterial Leaf Blight
আমার ধানের পাতার আগায় সকালবেলা শিশিরের সাথে ময়লা জমার মতো দেখা যায়।,Bacterial Leaf Blight
"এই মেঘলা রাইতে খালি চিন্তা হইতাছে, আমার ধানগুলার কি হইবো।",Bacterial Leaf Blight
"আমার ধানের পাতা শুকায়া এমন হইছে যে, হাত দিলেই মচমচ কইরা শব্দ হয়।",Bacterial Leaf Blight
বেশি ঘন কইরা ধান লাগাইছিলাম বইলাই কি এই পাতা পোড়া রোগটা বেশি হইছে? 🤔,Bacterial Leaf Blight
"আমার ধানের পাতা এমনভাবে নষ্ট হইছে যে, এই ধান আর গরুকেও খাওয়ানো যাইবো না।",Bacterial Leaf Blight
"ধানের পাতার আগা থেইকা যে মরা ভাবটা শুরু হইছে, সেইটা এখন পুরা গোছাতেই ছড়াইছে।",Bacterial Leaf Blight
"আমার জমির উত্তর পাশের ধানে এই পাতা পোড়া রোগটা বেশি, কারণ ওইদিকেই বাতাস বেশি।",Bacterial Leaf Blight
এইবার আমার ধানের পাতা পোড়া দেইখা গ্রামের ডাক্তারও কোনো বুদ্ধি দিতে পারলো না।,Bacterial Leaf Blight
আমার ধানের পাতার দুইটা ধারই একলগে শুকায়া যাইতাছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগটা কি সেচের পানির মাধ্যমেও ছড়াইতে পারে?,Bacterial Leaf Blight
আমার ধানের পাতা এমনভাবে শুকায়া যাইতেছে যেনো কেউ রস চুইষা খাইতাছে।,Bacterial Leaf Blight
সকালের দিকে আমার ধানের পাতায় আঠালো হলদে ফোঁটা দেখা যায়।,Bacterial Leaf Blight
"এইবার আমার ধানের পাতা পোড়ার কারণে যে ক্ষতি হইলো, সেইটা আর জীবনেও পুষাইতে পারমু না।",Bacterial Leaf Blight
আমার ধানের পাতার দাগগুলা এখন ছাইয়ের মতো সাদা হইয়া গেছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগের কারণে আমার ধানের একটা শীষও ঠিকমতো বাইর হইতে পারবো না।,Bacterial Leaf Blight
আমার ধানের পাতা দেইখা মনে হইতাছে এইবার আর নিজের খাওয়ার চালটাও হইবো না। 😭,Bacterial Leaf Blight
"ধানের পাতার আগাটা এমনভাবে শুকাইছে যে, পুরা গাছটাই নির্জীব মনে হইতাছে।",Bacterial Leaf Blight
আমার ধানের পাতা পোড়া রোগটা কি জমির আইল দিয়াও ছড়ায়?,Bacterial Leaf Blight
এইবার আমার ধানের পাতা পোড়া দেইখা মনে হইতাছে আমার সব পরিশ্রমই নষ্ট।,Bacterial Leaf Blight
"আমার ধানের পাতার সাইডগুলা এমনভাবে শুকাইছে যে, মনে হয় কেউ আগুন দিয়া ছ্যাঁকা দিছে।",Bacterial Leaf Blight
এই পাতা পোড়া রোগের কারণে আমার ধানের গাছগুলার সব সজীবতাই হারায়া গেছে।,Bacterial Leaf Blight
"আমার ধানের পাতায় সকালে যে আঠালো জিনিসটা থাকে, সেইটা কি পোকার ডিম?",Bacterial Leaf Blight
এইবার আমার ধানের পাতা পোড়ার কারণে একটা বড় ঋণের বোঝায় পইড়া গেলাম।,Bacterial Leaf Blight
আমার ধানের পাতার কিনার বরাবর একটা হলদে ঢেউ দেখা যাইতাছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগটা আমার সব স্বপ্নকেই পুড়াইয়া দিলো।,Bacterial Leaf Blight
